Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
"Sánchez-Sánchez, E; Prieto-Araujo, E; Gomis-Bellmunt, O; "	On the performance of the energy-controlled MMC: impact of the Internal and the DC capacitances in HVDC applications					2019	IET
"Egea-Àlvarez, A; Fekriasl, S; Prieto-Araujo, E; "	Improved droop control with DC grid resonance damping capability					2019	IET
"Ferrer-San-Jose, R; Woodford, D; Prieto-Araujo, E; Gomis-Bellmunt, O; "	DC-DC transformer for interconnecting HVDC grids of different technologies and grounding schemes into an HVDC multi-terminal grid					2019	IET
"Bullich-Massagué, Eduard; Aragüés-Peñalba, Mònica; Prieto-Araujo, Eduardo; Sumper, Andreas; Caire, Raphael; "	Optimal feeder flow control for grid connected microgrids	International Journal of Electrical Power & Energy Systems	112		144-155	2019	Elsevier
"Prieto Araujo, Eduardo; "	Estudi d'un sistema de generació basat en una pila bioelectroquímica					2019	Universitat Politècnica de Catalunya
"Agbemuko, Adedotun J; Domínguez-García, José Luis; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	Dynamic modelling and interaction analysis of multi-terminal VSC-HVDC grids through an impedance-based approach	International Journal of Electrical Power & Energy Systems	113		874-887	2019	Elsevier
"Olivella-Rosell, P; Rullan, F; Lloret-Gallego, P; Prieto-Araujo, E; Ferrer-San-José, R; Barja-Martinez, S; Bjarghov, S; Lakshmanan, V; Hentunen, A; Forsström, J; "	Centralised and Distributed Optimization for Aggregated Flexibility Services Provision	arXiv preprint arXiv:1907.08125				2019	
"Sainz, Luis; Monjo, Lluis; Cheah-Mane, Marc; Liang, Jun; Gomis-Bellmunt, Oriol; Prieto-Araujo, Eduardo; "	Admittance study of grid-connected VSCs for harmonic oscillatory instabilities	"IET Generation, Transmission & Distribution"	13	18	4049-4060	2019	IET Digital Library
"Sanchez-Sanchez, Enric; Gross, Dominic; Prieto-Araujo, Eduardo; Dorfler, Florian; Gomis-Bellmunt, Oriol; "	Optimal Multivariable MMC Energy-Based Control for DC Voltage Regulation in HVDC Applications	IEEE Transactions on Power Delivery				2019	IEEE
"Sau-Bassols, Joan; Zhao, Quanyu; García-González, Javier; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	Optimal power flow operation of an interline current flow controller in an hybrid AC/DC meshed grid	Electric Power Systems Research	177		105935	2019	Elsevier
"Sau, Joan; Ferrer-San-Jose, Ricard; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	Multi-port Interline Current Flow Controller for Meshed HVDC Grids	IEEE Transactions on Industrial Electronics				2019	IEEE
"Bidadfar, Ali; Saborío-Romano, Oscar; Altin, Müfit; Cutululis, Nicolaos Antonio; Prieto-Araujo, E; Gomis-Bellmunt, O; Sørensen, Poul Ejnar; "	Droop-Based Frequency Support from Offshore HVDC Grids	Cigre Aalborg 2019: International Symposium			13 (YM)	2019	CIGRE (International Council on Large Electric Systems)
"Gomis-Bellmunt, Oriol; Sau-Bassols, Joan; Prieto-Araujo, Eduardo; Cheah-Mane, Marc; "	Flexible converters for meshed HVDC grids: From Flexible AC transmission systems (FACTS) to Flexible DC grids	IEEE Transactions on Power Delivery				2019	IEEE
