"Gomis-Bellmunt, Oriol; Junyent-Ferré, Adrià; Sumper, Andreas; Galceran-Arellano, Samuel; ",Maximum generation power evaluation of variable frequency offshore wind farms when connected to a single power converter,Applied Energy,87,10,3103-3109,2010,Elsevier
"Junyent-Ferré, Adrià; Gomis-Bellmunt, Oriol; Sumper, Andreas; Sala, Marc; Mata, Montserrat; ",Modeling and control of the doubly fed induction generator wind turbine,Simulation Modelling Practice and Theory,18,9,1365-1381,2010,Elsevier
"Trilla, Lluís; Gomis-Bellmunt, Oriol; Junyent-Ferré, Adrià; Sudrié-Andreu, Antoni; ",Analysis of total power extracted with common converter wind farm topology,The XIX International Conference on Electrical Machines-ICEM 2010,,,1-6,2010,IEEE
"Trilla, Lluis; Gomis-Bellmunt, Oriol; Junyent-Ferre, Adria; Alvarez, Agusti Egea; Sudria-Andreu, Antoni; ",Control of a squirrel cage induction generator wind farm connected to a single power converter,45th International Universities Power Engineering Conference UPEC2010,,,1-6,2010,IEEE
"Domínguez-García, JL; Gomis-Bellmunt, Oriol; Trilla-Romero, Lluıs; Junyent-Ferré, Adria; ",Vector control of squirrel cage induction generator for wind power,"Electrical Machines (ICEM), 2010 XIX International Conference on",,,1-6,2010,IEEE
"Gomis-Bellmunt, Oriol; Junyent-Ferre, Adria; Sumper, Andreas; Bergas-Jane, Joan; ",Permanent magnet synchronous generator offshore wind farms connected to a single power converter,IEEE PES General Meeting,,,1-6,2010,IEEE
"Colet-Subirachs, Alba; Gomis-Bellmunt, Oriol; Clos-Costa, Daniel; Martín-Segura, Guillermo; Junyent-Ferre, Adriä; Villafáfila-Robles, Roberto; Ferrer-Marti, Laia; ",Electromechanical modelling and control of a micro-wind generation system for isolated low power DC micro grids,EPE journal,20,2,42-48,2010,Routledge
"Gomis-Bellmunt, Oriol; Junyent-Ferré, Adria; Sumper, Andreas; Sudria-Andreu, Antoni; Mata, Montserrat; Sala, Marc; ",Control of a doubly-fed induction generator under unbalanced conditions considering the converter limits,"Power Electronics and Applications, 2009. EPE'09. 13th European Conference on",,,1-8,2009,IEEE
"Valsera-Naranjo, Eduardo; Sumper, Andreas; Gomis-Bellmunt, Oriol; Junyent-Ferré, Adria; Martinez-Rojas, M; ",Design of a pitch control of a wind turbine to improve system frequency response,"Power Electronics and Applications, 2009. EPE'09. 13th European Conference on",,,1-11,2009,IEEE
"Mata-Dumenjo, Montserrat; Sanchez-Navarro, Javier; Rossetti, Michelle; Junyent-Ferre, Adria; Gomis-Bellmunt, Oriol; ",Integrated Simulation of a Doubly fed induction generator wind turbine,2009 13th European Conference on Power Electronics and Applications,,,1-7,2009,IEEE
"Pezzini, Paola; Gomis-Bellmunt, Oriol; Gonzalez-de-Miguel, Carlos; Junyent-Ferre, Adria; Sudria-Andreu, Antoni; ",FACTS location using genetic algorithm to increase energy efficiency in distribution networks,2009 13th European Conference on Power Electronics and Applications,,,1-8,2009,IEEE
"Pezzini, Paola; Gomis-Bellmunt, Oriol; Gonzalez-de-Miguel, Carlos; Junyent-Ferré, Adria; Sudrfa-Andreu, A; ",Genetic Algorithm approach in FACTS devices location for the improvement of energy efficiency in distribution networks,International Conference on Renewable Energies and Power Qualities (ICREPQ 09),,,,2009,
"Gomis-Bellmunt, Oriol; Junyent-Ferre, Adria; Sumper, Andreas; Bergas-Jan, J; ",Ride-through control of a doubly fed induction generator under unbalanced voltage sags,"Energy conversion, IEEE Transactions on",23,4,1036-1045,2008,IEEE
"Junyent-Ferré, Adria; Gomis-Bellmunt, Oriol; Martinez-Rojas, M; Sumper, Andreas; Sala, Marc; Mata, Montserrat; ",Digital simulation of voltage dip characteristics of wind turbine systems,"Electrical Power Quality and Utilisation, 2007. EPQU 2007. 9th International Conference on",,,1-6,2007,IEEE
"Junyent Ferré, Adrià; ",Modelització i control d'un sistema de generació elèctrica de turbina de vent,,,,,2007,Universitat Politècnica de Catalunya
